False;text;is_retweet;original_author;time;in_reply_to_screen_name;is_quote_status;retweet_count;favorite_count;source_url;truncated;hasHashtag;TweetID
True;The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG;False;;20160928002234;;False;218;651;https://studio.twitter.com;False;False;1
True;"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF";True;timkaine;20160927234500;;False;2445;5308;http://twitter.com;False;False;2
True;Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.;True;POTUS;20160927232640;;False;7834;27234;https://about.twitter.com/products/tweetdeck;False;False;3
True;"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy";False;;20160927230841;;False;916;2542;https://studio.twitter.com;False;False;4
True;Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis;False;;20160927223027;;False;859;2882;https://about.twitter.com/products/tweetdeck;False;False;5
True;This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H;False;;20160927213528;;False;1303;2849;https://about.twitter.com/products/tweetdeck;False;True;6
True;When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS;False;;20160927212531;;False;1833;4954;https://about.twitter.com/products/tweetdeck;False;False;7
False;Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe;False;;20160927210822;;False;4132;11239;http://twitter.com/download/iphone;False;False;8
True;3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq;True;mcuban;20160927210013;;False;1087;2824;http://twitter.com;False;False;9
True;The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM;True;ddlovato;20160927203747;;False;3347;7698;http://twitter.com;False;False;10
False;On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… https://t.co/0wib6UEZON;True;GOP;20160927203114;;False;2953;6963;http://twitter.com/download/iphone;False;True;11
False;"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
https://t.co/zhkEfUouHH";False;;20160927201433;;False;3833;9840;http://twitter.com/download/iphone;False;False;12
False;"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
https://t.co/PGimqYKPoJ";False;;20160927200625;;False;4236;10948;http://twitter.com/download/iphone;False;True;13
True;Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S;False;;20160927195928;;False;5379;8917;https://about.twitter.com/products/tweetdeck;False;False;14
False;Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF;False;;20160927195904;;False;4878;14110;http://twitter.com/download/iphone;False;True;15
False;In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA;False;;20160927193722;;False;6939;23330;http://twitter.com/download/iphone;False;True;16
True;“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw;False;;20160927193101;;False;2058;3714;https://about.twitter.com/products/tweetdeck;False;False;17
True;It's #NationalVoterRegistrationDay. Celebrate by registering to vote ? https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG;False;;20160927184539;;False;1792;3500;https://about.twitter.com/products/tweetdeck;False;True;18
True;"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate";False;;20160927181206;HillaryClinton;False;1437;5053;https://about.twitter.com/products/tweetdeck;False;True;19
True;"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether";False;;20160927181007;HillaryClinton;False;976;3313;https://about.twitter.com/products/tweetdeck;False;True;20
True;"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary";False;;20160927180628;HillaryClinton;False;957;2968;https://about.twitter.com/products/tweetdeck;False;False;21
True;"""What kind of a person would want to root for 9 million families losing their homes?

One who should never be president."" —Hillary on Trump";False;;20160927180254;HillaryClinton;False;1127;3216;https://about.twitter.com/products/tweetdeck;False;False;22
True;"""I don’t think that any family should have to pay more than 10% of their income on child care.” —Hillary https://t.co/pepW0auI8n";False;;20160927175815;HillaryClinton;False;586;1681;https://about.twitter.com/products/tweetdeck;False;False;23
True;"""I’m really glad my dad never had a contract with Donald Trump.” —Hillary https://t.co/un2YiRLEYF";False;;20160927175526;HillaryClinton;False;1580;2967;https://about.twitter.com/products/tweetdeck;False;False;24
True;When you work hard, you should not be living in poverty. https://t.co/86sTOCAkkq;False;;20160927175247;HillaryClinton;False;557;1633;https://about.twitter.com/products/tweetdeck;False;False;25
False;Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!;False;;20160927174736;;False;8534;28578;http://twitter.com/download/android;False;False;26
True;"""We may have a record-setting turnout in this election.

We could have the biggest turnout we've ever had."" https://t.co/tTgeqxNqYm";False;;20160927174407;HillaryClinton;False;556;1546;https://about.twitter.com/products/tweetdeck;False;False;27
True;"""You can go to https://t.co/tTgeqxNqYm to make sure you are registered. And I hope you all will.” —Hillary #NationalVoterRegistrationDay";False;;20160927174005;HillaryClinton;False;661;1326;https://about.twitter.com/products/tweetdeck;False;True;28
True;Join Hillary live in NC for her first rally since winning last night's debate ? https://t.co/DzEpIDf7HY #NationalVoterRegistrationDay;False;;20160927173508;;False;1115;3941;https://about.twitter.com/products/tweetdeck;False;True;29
True;So. Everything you're feeling after #Debates2016? It's #NationalVoterRegistrationDay. PLEASE:… https://t.co/YnOtJL8bW7;True;shondarhimes;20160927172013;;False;1328;2435;http://twitter.com;False;True;30
False;"Thank you for your endorsement, @GovernorSununu. #MAGA 
https://t.co/8BEeQPsuyd";False;;20160927165858;;False;4191;13152;http://twitter.com/download/iphone;False;True;31
True;Register and vote for Democrats like @HillaryClinton and @KatieMcGintyPA: https://t.co/tu6W6eS9xR #iRegistered… https://t.co/9ovdecqadN;True;JoeBiden;20160927162930;;False;1235;3206;http://twitter.com;False;True;32
True;I've been fortunate to meet young Americans from all over the country. We all make choices. This is mine...… https://t.co/bYoUE91TOO;True;AndrewJenks;20160927162403;;False;804;2086;http://twitter.com;False;False;33
True;"""She gained a massive amount of weight...it was a real problem."" —Trump this morning on Alicia Machado https://t.co/LJPlFegSTs";False;;20160927161228;;False;4829;7580;https://about.twitter.com/products/tweetdeck;False;False;34
True;"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.";True;repjohnlewis;20160927160349;;False;20006;24333;https://about.twitter.com/products/tweetdeck;False;True;35
True;When you have a really, really good night. #SheWon https://t.co/FVeGqhYxRZ;False;;20160927155407;;False;8242;35744;https://about.twitter.com/products/tweetdeck;False;True;36
True;"""Register. Vote. Go out and get engaged!” —@JoeBiden #NationalVoterRegistrationDay https://t.co/tTgeqxNqYm";False;;20160927154248;;False;1350;2874;https://about.twitter.com/products/tweetdeck;False;True;37
True;"""I'm glad Trump found out that Crimea was part of Ukraine. By the way, I heard he was on the verge of acknowledging gravity."" —@JoeBiden";False;;20160927153257;;False;5557;16289;https://about.twitter.com/products/tweetdeck;False;False;38
True;"“Let me tell you who built this damn country: the middle class.” —@JoeBiden

Let's keep building it, together: https://t.co/tTgeqxNqYm";False;;20160927152617;;False;1453;4741;https://about.twitter.com/products/tweetdeck;False;False;39
